City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,beruwala,6.4788,79.9828,23.86,92,100,1.21,LK,1667676724
348,mar del plata,-38.0023,-57.5575,23.79,76,0,8.75,AR,1667676724
349,coahuayana,18.7333,-103.6833,29.58,65,73,2.01,MX,1667676725
350,zima,53.9202,102.0442,-4.96,97,68,1.17,RU,1667676725
351,auki,-8.7676,160.7034,25.98,85,80,1.01,SB,1667676726
352,nishihara,26.1842,127.7558,20.6,64,100,5.14,JP,1667676726
353,svetlyy,54.675,20.1347,9.03,87,100,4.68,RU,1667676727
354,bhatkal,13.9667,74.5667,25.53,76,56,2.19,IN,1667676727
355,upata,8.0086,-62.3989,29.55,72,90,1.53,VE,1667676728
356,jalalabad,34.4265,70.4515,16.98,70,11,1.11,AF,1667676728
357,mumford,5.2618,-0.759,26.18,83,89,3.73,GH,1667676728
358,san patricio,28.017,-97.5169,25.1,35,5,4.08,US,1667676729
359,elliot,-31.3333,27.85,13.23,94,97,1.84,ZA,1667676729
360,dunedin,-45.8742,170.5036,11.56,62,8,2.09,NZ,1667676729
361,matagami,49.7502,-77.6328,2.06,100,100,2.57,CA,1667676730
362,itarema,-2.9248,-39.9167,27.34,73,100,6.5,BR,1667676730
363,narsaq,60.9167,-46.05,1.12,93,100,3.21,GL,1667676731
364,chitipa,-9.7024,33.2697,20.49,55,34,1.78,MW,1667676731
